"site","date","count"
"M-9",2024-04-30,0
"M-9",2024-05-01,0
"M-9",2024-05-02,0
"M-9",2024-05-03,0
"M-9",2024-05-04,0
"M-9",2024-05-05,0
"M-9",2024-05-06,0
"M-9",2024-05-07,14
"M-9",2024-05-08,0
"M-9",2024-05-09,0
"M-9",2024-05-10,0
"M-9",2024-05-11,0
"M-9",2024-05-12,0
"M-9",2024-05-13,0
"M-9",2024-05-14,0
"M-9",2024-05-15,0
"M-9",2024-05-16,0
"M-9",2024-05-17,0
"M-9",2024-05-18,0
"M-9",2024-05-19,0
"M-9",2024-05-20,0
"M-9",2024-05-21,0
"M-9",2024-05-22,0
"M-9",2024-05-23,0
"M-9",2024-05-24,0
"M-9",2024-05-25,0
"M-9",2024-05-26,0
"M-9",2024-05-27,0
"M-9",2024-05-28,0
"M-9",2024-05-29,0
"M-9",2024-05-30,0
"M-9",2024-05-31,0
"M-9",2024-06-01,0
"M-9",2024-06-02,0
"M-9",2024-06-03,0
"M-9",2024-06-04,0
"M-9",2024-06-05,0
"M-9",2024-06-06,0
"M-9",2024-06-07,0
"M-9",2024-06-08,0
"M-9",2024-06-09,0
"M-9",2024-06-10,0
"M-9",2024-06-11,0
"M-9",2024-06-12,0
"M-9",2024-06-13,0
"M-9",2024-06-14,0
"M-9",2024-06-15,0
"M-9",2024-06-16,0
"M-9",2024-06-17,0
"M-9",2024-06-18,0
"M-9",2024-06-19,0
"M-9",2024-06-20,0
"M-9",2024-06-21,0
"M-9",2024-06-22,0
"M-9",2024-06-23,0
"M-9",2024-06-24,0
"M-9",2024-06-25,0
