"site","date","count","treatment"
"M-10",2024-05-05,238,"mine"
"M-10",2024-05-06,110,"mine"
"M-10",2024-05-07,344,"mine"
"M-10",2024-05-08,308,"mine"
"M-10",2024-05-09,397,"mine"
"M-10",2024-05-10,303,"mine"
"M-10",2024-05-11,413,"mine"
"M-10",2024-05-12,500,"mine"
"M-10",2024-05-13,95,"mine"
"M-10",2024-05-14,148,"mine"
"M-10",2024-05-15,151,"mine"
"M-10",2024-05-16,283,"mine"
"M-10",2024-05-17,340,"mine"
"M-10",2024-05-18,471,"mine"
"M-10",2024-05-19,477,"mine"
"M-10",2024-05-20,377,"mine"
"M-10",2024-05-21,75,"mine"
"M-10",2024-05-22,135,"mine"
"M-10",2024-05-23,58,"mine"
"M-10",2024-05-24,91,"mine"
"M-10",2024-05-25,191,"mine"
"M-10",2024-05-26,270,"mine"
"M-10",2024-05-27,322,"mine"
"M-10",2024-05-28,214,"mine"
"M-10",2024-05-29,104,"mine"
"M-10",2024-05-30,159,"mine"
"M-10",2024-05-31,88,"mine"
"M-10",2024-06-01,86,"mine"
"M-10",2024-06-02,45,"mine"
"M-10",2024-06-03,146,"mine"
"M-10",2024-06-04,143,"mine"
"M-10",2024-06-05,184,"mine"
"M-10",2024-06-06,195,"mine"
"M-10",2024-06-07,376,"mine"
"M-10",2024-06-08,251,"mine"
"M-10",2024-06-09,233,"mine"
"M-10",2024-06-10,212,"mine"
"M-10",2024-06-11,97,"mine"
"M-10",2024-06-12,171,"mine"
"M-10",2024-06-13,252,"mine"
"M-10",2024-06-14,227,"mine"
"M-10",2024-06-15,257,"mine"
"M-10",2024-06-16,122,"mine"
"M-10",2024-06-17,254,"mine"
"M-10",2024-06-18,118,"mine"
"M-10",2024-06-19,232,"mine"
"M-10",2024-06-20,128,"mine"
"M-10",2024-06-21,349,"mine"
"M-10",2024-06-22,153,"mine"
"M-10",2024-06-23,278,"mine"
"M-10",2024-06-24,159,"mine"
"M-10",2024-06-25,265,"mine"
"M-10",2024-06-26,291,"mine"
"M-10",2024-06-27,190,"mine"
"M-10",2024-06-28,67,"mine"
"M-12",2024-03-10,0,"mine"
"M-12",2024-03-11,0,"mine"
"M-12",2024-03-12,0,"mine"
"M-12",2024-03-13,0,"mine"
"M-12",2024-03-14,2,"mine"
"M-12",2024-03-15,10,"mine"
"M-12",2024-03-16,2,"mine"
"M-12",2024-03-17,0,"mine"
"M-12",2024-03-18,4,"mine"
"M-12",2024-03-19,0,"mine"
"M-12",2024-03-20,2,"mine"
"M-12",2024-03-21,146,"mine"
"M-12",2024-03-22,33,"mine"
"M-12",2024-03-23,49,"mine"
"M-12",2024-03-24,0,"mine"
"M-12",2024-03-25,61,"mine"
"M-12",2024-03-26,25,"mine"
"M-12",2024-03-27,38,"mine"
"M-12",2024-03-28,0,"mine"
"M-12",2024-03-29,36,"mine"
"M-12",2024-03-30,17,"mine"
"M-12",2024-03-31,43,"mine"
"M-12",2024-04-01,3,"mine"
"M-12",2024-04-02,15,"mine"
"M-12",2024-04-03,2,"mine"
"M-12",2024-04-04,0,"mine"
