"treatment","shrub_cover","grass_cover","forb_cover","shrub_height","grass_height","predicted_state","SE","lower_CI","upper_CI"
"mature_savanna",33.8396407685881,12.1590277777778,11.1761826441103,6.72943279210668,3.58192889040889,5.86833383116171,1.06840413836479,3.77426171996672,7.9624059423567
"mine",33.8396407685881,12.1590277777778,11.1761826441103,6.72943279210668,3.58192889040889,11.4042086691633,1.7394801046426,7.99482766406384,14.8135896742628
"timber",33.8396407685881,12.1590277777778,11.1761826441103,6.72943279210668,3.58192889040889,6.03671701046705,1.0476376759192,3.98334716566542,8.09008685526868
"young_savanna",33.8396407685881,12.1590277777778,11.1761826441103,6.72943279210668,3.58192889040889,6.82239333491817,1.16940281014097,4.53036382704187,9.11442284279446
